Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Toilets,Date Listed,Prices
Luxury 3 Bedroom Apartment +bq+pool+gym,Old Ikoyi Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-19,54000000
Fully Detached Commercial Property,Off Awolowo Road Ikoyi Ikoyi South West Ikoyi Lagos,Commercial Property,Ikoyi,Lagos,5,5,4.0,2026-06-19,68000000
Premium 3 Bedroom Apartment+bq+pool+gym+ Tennis Court,Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-21,34999999
Newly Built 4 Bedroom Terrace House+bq+ Pool Etc,Off Awolowo Road Ikoyi Ikoyi South West Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,4,4,5.0,2026-06-21,37999999
Property Address 3 Bed Semi Detached Prince Court Phase 2 Kemta Abeokuta,Property Address 3 Bed Semi Detached Prince Court Phase 2 Kemta Iyana Mortuary Abeokuta Ogun,Terraced Duplex,Abeokuta,Ogun,3,3,4.0,2026-05-28,3500000
Luxury 5bedroom,Cowrie Creek Estate Ikate Elegushi Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-03-29,30000000
4bedroom Maisonette With Bq,Banana Island Banana Island Ikoyi Lagos,Other,Ikoyi,Lagos,4,4,5.0,2026-03-30,80000000
2bedroom Flat,Allen Avenue Allen Avenue Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,2,2,3.0,2026-03-29,4000000
Tastefully Finished 4 Bedroom Maisonette,Banana Island Ikoyi Lagos,Other,Ikoyi,Lagos,4,4,6.0,2026-02-14,80000000
Spacious 2bedroom Flat,Asa Estate Soluyi Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,2,2,3.0,2026-03-29,5500000
4 Bedroom Terrace Duplex In Vi,Victoria Island Lagos,Self Contain / Shared Room,Victoria Island,Lagos,4,4,5.0,2026-06-19,30000000
Newly Built 2bedroom With Bq,By Eco Bank Lekki Scheme 2 Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,2,2,3.0,2026-03-29,4000000
Luxury 4 Bedroom Terrace Duplex With Bq,Off Palace Road Oniru Victoria Island Lagos,Self Contain / Shared Room,Victoria Island,Lagos,4,4,5.0,2026-05-16,30000000
Standard Commercial Hall In Alausa,Alausa Ikeja Lagos,Commercial Property,Ikeja,Lagos,0,0,0.0,2026-06-17,150000000
Affordable 4 Bedroom Terrace Duplex In A Strategic Location,Ikota G R A Ikota Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2026-06-05,7500000
"1 Bedroom Apartment In Parkview Estate, Ikoyi",Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,1,1,2.0,2026-06-16,8500000
2 Bedroom Apartment In Lekki,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-19,17000000
All Ensuit 2bedroom With Bq,Gra Ikeja Gra Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,2,2,3.0,2026-03-29,20000000
Fully Furnished Sefcon,Coza Guzape Abuja Phase 1 Abuja,Detached / Semi-Detached Duplex,1,Abuja,1,1,1.0,2026-03-29,5000000
Luxury 2 Bedroom Maisonette With Excellent Finishing,Off Mobil Road Ilaje Lekki Scheme 2 Ajah Lagos,Other,Ajah,Lagos,2,2,3.0,2026-06-11,6500000
2 Bedroom Apartment Iin Lekki,Chevron Drive Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-19,6000000
Furnished Luxury Apartments In Ikoyi,Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,1,1,2.0,2026-06-19,32000000
2 Bedroom Apartment In Lekki,Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-19,25000000
Tastefully Finished 3 Bedroom Apartment With Bq,Admiralty Way Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-03-31,35000000
Serviced 5bedroom Terrace.,Chevy View Estate. Chevron Drive Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,5,5,6.0,2026-03-30,15000000
4bedroom House With Bq.,Parkview Estate Parkview Estate Ikoyi Lagos,Terraced Duplex,Ikoyi,Lagos,4,4,5.0,2026-03-30,50000000
3 Bedroom Apartment In Ikoyi,Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-19,25000000
Luxury 4 Bedroom Maisonette In Ikoyi,Old Ikoyi Ikoyi Lagos,Other,Ikoyi,Lagos,4,4,5.0,2026-06-18,75000000
4 Bedroom Semi Detached House With Bq In Lekki Phase 1,Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-16,40000000
4 Bedroom Terrace House In Ikoyi,Banana Island Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,4,4,5.0,2026-06-19,70000000
4 Bedroom Duplex In Ikoyi,Ikoyi Lagos,Terraced Duplex,Ikoyi,Lagos,4,4,5.0,2026-06-19,40000000
2 Bedroom Apartment In Lekki,Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-17,6600000
1 Bedroom Apartment In Ikoyi,Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,1,1,2.0,2026-06-18,10000000
2 Bedroom Apartment In Lekki,Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-17,20000000
Luxurious 5bedroom,Mummy B Road Port Harcourt Port Harcourt Rivers,Terraced Duplex,Harcourt,Rivers,5,5,6.0,2026-03-29,25000000
Luxurious 6 Bedroom,Peter Odili Road Port Harcourt Port Harcourt Rivers,Terraced Duplex,Harcourt,Rivers,6,6,7.0,2026-03-29,17000000
4bedroom With Bq,Ojaja Mall Ajah Ajah Lagos,Terraced Duplex,Ajah,Lagos,4,4,5.0,2026-03-29,8500000
Fully Furnished Mini Flat,Gilmor Jahi Abuja Phase 2 Abuja,Mini Flat,2,Abuja,1,1,2.0,2026-03-29,7000000
Furnished 3 Bedroom Apartment In Ikoyi,Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-19,50000000
1bedroom (mini Flat).,Ologoloe Ologolo Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2.0,2026-03-31,3000000
2 Bedroom Apartment In Lekki,Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-19,10000000
